time,(G)
108.857143,-3.611614E-1
109.000000,-3.634704E-1
109.142857,-3.608182E-1
109.285714,-3.618926E-1
109.428571,-3.596745E-1
109.571429,-3.583938E-1
109.714286,-3.625849E-1
109.857143,-3.573006E-1
110.000000,-3.584111E-1
110.142857,-3.534889E-1
110.285714,-3.467783E-1
110.428571,-3.561743E-1
110.571429,-3.538537E-1
110.714286,-3.559046E-1
110.857143,-3.594409E-1
111.000000,-3.589188E-1
111.142857,-3.570107E-1
111.285714,-3.546470E-1
111.428571,-3.536994E-1
111.571429,-3.508395E-1
111.714286,-3.546224E-1
111.857143,-3.537110E-1
112.000000,-3.508482E-1
112.142857,-3.500146E-1
112.285714,-3.488248E-1
112.428571,-3.569285E-1
112.571429,-3.561757E-1
112.714286,-3.540542E-1
112.857143,-3.534009E-1
113.000000,-3.535134E-1
113.142857,-3.571478E-1
113.285714,-3.590270E-1
113.428571,-3.565896E-1
113.571429,-3.593990E-1
113.714286,-3.596774E-1
113.857143,-3.583881E-1
114.000000,-3.587226E-1
114.142857,-3.601403E-1
114.285714,-3.591380E-1
114.428571,-3.605874E-1
114.571429,-3.591207E-1
114.714286,-3.547479E-1
114.857143,-3.521043E-1
115.000000,-3.514337E-1
115.142857,-3.512145E-1
115.285714,-3.454601E-1
115.428571,-3.428064E-1
115.571429,-3.432391E-1
115.714286,-3.421603E-1
115.857143,-3.435160E-1
116.000000,-3.437987E-1
116.142857,-3.413902E-1
116.285714,-3.440193E-1
116.428571,-3.411176E-1
116.571429,-3.423189E-1
116.714286,-3.443654E-1
116.857143,-3.480301E-1
117.000000,-3.462576E-1
117.142857,-3.410137E-1
117.285714,-3.479666E-1
117.428571,-3.526812E-1
117.571429,-3.508525E-1
117.714286,-3.534211E-1
117.857143,-3.506939E-1
118.000000,-3.486358E-1
118.142857,-3.518794E-1
118.285714,-3.502093E-1
118.428571,-3.518606E-1
118.571429,-3.532221E-1
118.714286,-3.498199E-1
118.857143,-3.485031E-1
119.000000,-3.475123E-1
119.142857,-3.455985E-1
119.285714,-3.443395E-1
119.428571,-3.454168E-1
119.571429,-3.457702E-1
119.714286,-3.450765E-1
119.857143,-3.463716E-1
120.000000,-3.451327E-1
120.142857,-3.408291E-1
120.285714,-3.386903E-1
120.428571,-3.333830E-1
120.571429,-3.309933E-1
120.714286,-3.361261E-1
120.857143,-3.328119E-1
121.000000,-3.336830E-1
121.142857,-3.364391E-1
121.285714,-3.368184E-1
121.428571,-3.388634E-1
121.571429,-3.403532E-1
121.714286,-3.360799E-1
121.857143,-3.361896E-1
122.000000,-3.346579E-1
122.142857,-3.354670E-1
122.285714,-3.343089E-1
122.428571,-3.356588E-1
122.571429,-3.381365E-1
122.714286,-3.351007E-1
122.857143,-3.316697E-1
123.000000,-3.292770E-1
123.142857,-3.290117E-1
123.285714,-3.301034E-1
123.428571,-3.287997E-1
123.571429,-3.278536E-1
123.714286,-3.266969E-1
123.857143,-3.289612E-1
124.000000,-3.298813E-1
124.142857,-3.302837E-1
124.285714,-3.303313E-1
124.428571,-3.263840E-1
124.571429,-3.291703E-1
124.714286,-3.298640E-1
124.857143,-3.255230E-1
125.000000,-3.234476E-1
125.142857,-3.123239E-1
125.285714,-3.099399E-1
125.428571,-3.070858E-1
125.571429,-3.017049E-1
125.714286,-3.014813E-1
125.857143,-3.121378E-1
126.000000,-3.073800E-1
126.142857,-3.031110E-1
126.285714,-3.081299E-1
126.428571,-3.049397E-1
126.571429,-3.065839E-1
126.714286,-3.027159E-1
126.857143,-3.080520E-1
127.000000,-3.086405E-1
127.142857,-3.066848E-1
127.285714,-3.064757E-1
127.428571,-3.028457E-1
127.571429,-3.011813E-1
127.714286,-3.022745E-1
127.857143,-3.041739E-1
128.000000,-3.078588E-1
128.142857,-3.061382E-1
128.285714,-3.045388E-1
128.428571,-2.992560E-1
128.571429,-3.042547E-1
128.714286,-3.045374E-1
128.857143,-3.013746E-1
129.000000,-3.017856E-1
129.142857,-3.034009E-1
129.285714,-3.070612E-1
129.428571,-3.059767E-1
129.571429,-3.070035E-1
129.714286,-3.060993E-1
129.857143,-3.043138E-1
130.000000,-3.059594E-1
130.142857,-3.095779E-1
130.285714,-3.077448E-1
130.428571,-3.046225E-1
130.571429,-3.030937E-1
130.714286,-2.963384E-1
130.857143,-2.903475E-1
131.000000,-2.827009E-1
131.142857,-2.776286E-1
131.285714,-2.777584E-1
131.428571,-2.773993E-1
131.571429,-2.795165E-1
131.714286,-2.844676E-1
131.857143,-2.827730E-1
132.000000,-2.814764E-1
132.142857,-2.807683E-1
132.285714,-2.773330E-1
132.428571,-2.759946E-1
132.571429,-2.795828E-1
132.714286,-2.781550E-1
132.857143,-2.793939E-1
133.000000,-2.793838E-1
133.142857,-2.770604E-1
133.285714,-2.797573E-1
133.428571,-2.783858E-1
133.571429,-2.798785E-1
133.714286,-2.797544E-1
133.857143,-2.818283E-1
134.000000,-2.804871E-1
134.142857,-2.835345E-1
134.285714,-2.850401E-1
134.428571,-2.848469E-1
134.571429,-2.833268E-1
134.714286,-2.815240E-1
134.857143,-2.769551E-1
135.000000,-2.812183E-1
135.142857,-2.765960E-1
135.285714,-2.736726E-1
135.428571,-2.763003E-1
135.571429,-2.738688E-1
135.714286,-2.737375E-1
135.857143,-2.772104E-1
136.000000,-2.773272E-1
136.142857,-2.726040E-1
136.285714,-2.669534E-1
136.428571,-2.627248E-1
136.571429,-2.560964E-1
136.714286,-2.531370E-1
136.857143,-2.548633E-1
137.000000,-2.508641E-1
137.142857,-2.523697E-1
137.285714,-2.540816E-1
137.428571,-2.542388E-1
137.571429,-2.553508E-1
137.714286,-2.531889E-1
137.857143,-2.515982E-1
138.000000,-2.501098E-1
138.142857,-2.543672E-1
138.285714,-2.541927E-1
138.428571,-2.533865E-1
138.571429,-2.534211E-1
138.714286,-2.527779E-1
138.857143,-2.570050E-1
139.000000,-2.558916E-1
139.142857,-2.532697E-1
139.285714,-2.491103E-1
139.428571,-2.496382E-1
139.571429,-2.552253E-1
139.714286,-2.520928E-1
139.857143,-2.467019E-1
140.000000,-2.504069E-1
140.142857,-2.505252E-1
140.285714,-2.521361E-1
140.428571,-2.535971E-1
140.571429,-2.559291E-1
140.714286,-2.553681E-1
140.857143,-2.578299E-1
141.000000,-2.576266E-1
141.142857,-2.535293E-1
141.285714,-2.556277E-1
141.428571,-2.561440E-1
141.571429,-2.555599E-1
141.714286,-2.585020E-1
141.857143,-2.577607E-1
142.000000,-2.568406E-1
142.142857,-2.555801E-1
142.285714,-2.536158E-1
142.428571,-2.452885E-1
142.571429,-2.385966E-1
142.714286,-2.319206E-1
142.857143,-2.278695E-1
143.000000,-2.291862E-1
143.142857,-2.327759E-1
143.285714,-2.310178E-1
143.428571,-2.297069E-1
143.571429,-2.318456E-1
143.714286,-2.314678E-1
143.857143,-2.273330E-1
144.000000,-2.281103E-1
144.142857,-2.266580E-1
144.285714,-2.235558E-1
144.428571,-2.262268E-1
144.571429,-2.288300E-1
144.714286,-2.273835E-1
144.857143,-2.282762E-1
145.000000,-2.299405E-1
145.142857,-2.322307E-1
145.285714,-2.256528E-1
145.428571,-2.311231E-1
145.571429,-2.315630E-1
145.714286,-2.346868E-1
145.857143,-2.334580E-1
146.000000,-2.292655E-1
146.142857,-2.339974E-1
146.285714,-2.328264E-1
146.428571,-2.340969E-1
146.571429,-2.301972E-1
146.714286,-2.336225E-1
146.857143,-2.289641E-1
147.000000,-2.367174E-1
147.142857,-2.328538E-1
147.285714,-2.352637E-1
147.428571,-2.324427E-1
147.571429,-2.365891E-1
147.714286,-2.291530E-1
147.857143,-2.262903E-1
148.000000,-2.175043E-1
148.142857,-2.124681E-1
148.285714,-2.058397E-1
148.428571,-2.009896E-1
148.571429,-1.997478E-1
148.714286,-1.962533E-1
148.857143,-1.995935E-1
149.000000,-2.010516E-1
149.142857,-2.030490E-1
149.285714,-1.988926E-1
149.428571,-2.004733E-1
149.571429,-2.034788E-1
149.714286,-2.061729E-1
149.857143,-2.042994E-1
150.000000,-2.017986E-1
150.142857,-2.039216E-1
150.285714,-2.035480E-1
150.428571,-2.025284E-1
150.571429,-2.001141E-1
150.714286,-2.019919E-1
150.857143,-2.043052E-1
151.000000,-2.052470E-1
151.142857,-2.037673E-1
151.285714,-2.033461E-1
151.428571,-1.995762E-1
151.571429,-2.017684E-1
151.714286,-1.997997E-1
151.857143,-2.023294E-1
152.000000,-2.039187E-1
152.142857,-1.999872E-1
152.285714,-1.999108E-1
152.428571,-1.983157E-1
152.571429,-1.974980E-1
152.714286,-1.949943E-1
152.857143,-1.960356E-1
153.000000,-1.937987E-1
153.142857,-1.955236E-1
153.285714,-1.933343E-1
153.428571,-1.916772E-1
153.571429,-1.830283E-1
153.714286,-1.762254E-1
153.857143,-1.716795E-1
154.000000,-1.739496E-1
154.142857,-1.763725E-1
154.285714,-1.767402E-1
154.428571,-1.771787E-1
154.571429,-1.794559E-1
154.714286,-1.804410E-1
154.857143,-1.654881E-1
155.000000,-1.611543E-1
155.142857,-1.660477E-1
155.285714,-1.683870E-1
155.428571,-1.742020E-1
155.571429,-1.724266E-1
155.714286,-1.721526E-1
155.857143,-1.733756E-1
156.000000,-1.774383E-1
156.142857,-1.754567E-1
156.285714,-1.783858E-1
156.428571,-1.794141E-1
156.571429,-1.795626E-1
156.714286,-1.808736E-1
156.857143,-1.770503E-1
157.000000,-1.783613E-1
157.142857,-1.797025E-1
157.285714,-1.784392E-1
157.428571,-1.780829E-1
157.571429,-1.809299E-1
157.714286,-1.777282E-1
157.857143,-1.812096E-1
158.000000,-1.787391E-1
158.142857,-1.755129E-1
158.285714,-1.742495E-1
158.428571,-1.723054E-1
158.571429,-1.622013E-1
158.714286,-1.534904E-1
158.857143,-1.512420E-1
159.000000,-1.510790E-1
159.142857,-1.536562E-1
159.285714,-1.549917E-1
159.428571,-1.544682E-1
159.571429,-1.491248E-1
159.714286,-1.529005E-1
159.857143,-1.516847E-1
160.000000,-1.487224E-1
160.142857,-1.523510E-1
160.285714,-1.526582E-1
160.428571,-1.518232E-1
160.571429,-1.486099E-1
160.714286,-1.475052E-1
160.857143,-1.520453E-1
161.000000,-1.482840E-1
161.142857,-1.463961E-1
161.285714,-1.498055E-1
161.428571,-1.478427E-1
161.571429,-1.504920E-1
161.714286,-1.506175E-1
161.857143,-1.458640E-1
162.000000,-1.411191E-1
162.142857,-1.410585E-1
162.285714,-1.409936E-1
162.428571,-1.438160E-1
162.571429,-1.437958E-1
